Email,Age,Education,Marital-status,Gender,Income,count
nan-nan,41-42,nan-nan,Never-married,Female,<=50k,39
nan-nan,41-42,nan-nan,Never-married,Female,>50k,2
nan-nan,41-42,nan-nan,Never-married,Male,<=50k,59
nan-nan,41-42,nan-nan,Never-married,Male,>50k,9
nan-nan,41-42,nan-nan,Separated,Female,<=50k,17
nan-nan,41-42,nan-nan,Separated,Female,>50k,1
nan-nan,41-42,nan-nan,Separated,Male,<=50k,12
nan-nan,41-42,nan-nan,Separated,Male,>50k,1
nan-nan,41-42,nan-nan,Widowed,Female,<=50k,6
nan-nan,41-42,nan-nan,Widowed,Female,>50k,3
nan-nan,41-42,nan-nan,Widowed,Male,<=50k,1
nan-nan,41-42,nan-nan,Widowed,Male,>50k,1
nan-nan,17,nan-nan,Married-spouse-absent,Male,<=50k,1
nan-nan,17,nan-nan,Never-married,Female,<=50k,95
nan-nan,17,nan-nan,Never-married,Male,<=50k,69
nan-nan,20,nan-nan,Divorced,Female,<=50k,1
nan-nan,20,nan-nan,Divorced,Male,<=50k,2
nan-nan,20,nan-nan,Married-civ-spouse,Female,<=50k,2
nan-nan,20,nan-nan,Married-civ-spouse,Male,<=50k,7
nan-nan,20,nan-nan,Never-married,Female,<=50k,137
nan-nan,20,nan-nan,Never-married,Male,<=50k,137
nan-nan,20,nan-nan,Never-married,Male,>50k,1
nan-nan,25,nan-nan,Divorced,Female,<=50k,12
nan-nan,25,nan-nan,Divorced,Male,<=50k,7
nan-nan,25,nan-nan,Divorced,Male,>50k,1
nan-nan,25,nan-nan,Married-civ-spouse,Female,<=50k,11
nan-nan,25,nan-nan,Married-civ-spouse,Female,>50k,2
nan-nan,25,nan-nan,Married-civ-spouse,Male,<=50k,46
nan-nan,25,nan-nan,Married-civ-spouse,Male,>50k,13
nan-nan,25,nan-nan,Married-spouse-absent,Female,<=50k,2
nan-nan,25,nan-nan,Married-spouse-absent,Male,<=50k,3
nan-nan,25,nan-nan,Never-married,Female,<=50k,107
nan-nan,25,nan-nan,Never-married,Female,>50k,4
nan-nan,25,nan-nan,Never-married,Male,<=50k,121
nan-nan,25,nan-nan,Never-married,Male,>50k,2
nan-nan,25,nan-nan,Separated,Female,<=50k,3
nan-nan,30,nan-nan,Divorced,Female,<=50k,26
nan-nan,30,nan-nan,Divorced,Male,<=50k,22
nan-nan,30,nan-nan,Divorced,Male,>50k,2
nan-nan,30,nan-nan,Married-AF-spouse,Female,>50k,1
nan-nan,30,nan-nan,Married-AF-spouse,Male,<=50k,1
nan-nan,30,nan-nan,Married-civ-spouse,Female,<=50k,8
nan-nan,30,nan-nan,Married-civ-spouse,Female,>50k,9
nan-nan,30,nan-nan,Married-civ-spouse,Male,<=50k,94
nan-nan,30,nan-nan,Married-civ-spouse,Male,>50k,52
nan-nan,30,nan-nan,Married-spouse-absent,Female,<=50k,4
nan-nan,30,nan-nan,Married-spouse-absent,Male,<=50k,3
nan-nan,30,nan-nan,Never-married,Female,<=50k,65
nan-nan,30,nan-nan,Never-married,Female,>50k,4
nan-nan,30,nan-nan,Never-married,Male,<=50k,85
nan-nan,30,nan-nan,Never-married,Male,>50k,5
nan-nan,30,nan-nan,Separated,Female,<=50k,8
nan-nan,30,nan-nan,Separated,Male,<=50k,10
nan-nan,30,nan-nan,Separated,Male,>50k,3
nan-nan,31,nan-nan,Divorced,Female,<=50k,34
nan-nan,31,nan-nan,Divorced,Female,>50k,1
nan-nan,31,nan-nan,Divorced,Male,<=50k,20
nan-nan,31,nan-nan,Married-AF-spouse,Female,<=50k,1
nan-nan,31,nan-nan,Married-AF-spouse,Male,<=50k,1
nan-nan,31,nan-nan,Married-civ-spouse,Female,<=50k,14
nan-nan,31,nan-nan,Married-civ-spouse,Female,>50k,13
nan-nan,31,nan-nan,Married-civ-spouse,Male,<=50k,108
nan-nan,31,nan-nan,Married-civ-spouse,Male,>50k,69
nan-nan,31,nan-nan,Married-spouse-absent,Female,<=50k,1
nan-nan,31,nan-nan,Married-spouse-absent,Male,<=50k,2
nan-nan,31,nan-nan,Never-married,Female,<=50k,58
nan-nan,31,nan-nan,Never-married,Female,>50k,6
nan-nan,31,nan-nan,Never-married,Male,<=50k,73
nan-nan,31,nan-nan,Never-married,Male,>50k,3
nan-nan,31,nan-nan,Separated,Female,<=50k,7
nan-nan,31,nan-nan,Separated,Male,<=50k,9
nan-nan,31,nan-nan,Widowed,Female,<=50k,1
nan-nan,31,nan-nan,Widowed,Male,<=50k,2
nan-nan,32,nan-nan,Divorced,Female,<=50k,26
nan-nan,32,nan-nan,Divorced,Female,>50k,3
nan-nan,32,nan-nan,Divorced,Male,<=50k,18
nan-nan,32,nan-nan,Divorced,Male,>50k,3
nan-nan,32,nan-nan,Married-AF-spouse,Female,>50k,2
nan-nan,32,nan-nan,Married-civ-spouse,Female,<=50k,9
nan-nan,32,nan-nan,Married-civ-spouse,Female,>50k,6
nan-nan,32,nan-nan,Married-civ-spouse,Male,<=50k,107
nan-nan,32,nan-nan,Married-civ-spouse,Male,>50k,80
nan-nan,32,nan-nan,Married-spouse-absent,Male,<=50k,5
nan-nan,32,nan-nan,Never-married,Female,<=50k,56
nan-nan,32,nan-nan,Never-married,Female,>50k,1
nan-nan,32,nan-nan,Never-married,Male,<=50k,69
nan-nan,32,nan-nan,Never-married,Male,>50k,7
nan-nan,32,nan-nan,Separated,Female,<=50k,7
nan-nan,32,nan-nan,Separated,Male,<=50k,5
nan-nan,32,nan-nan,Separated,Male,>50k,2
nan-nan,32,nan-nan,Widowed,Female,<=50k,1
nan-nan,33,nan-nan,Divorced,Female,<=50k,24
nan-nan,33,nan-nan,Divorced,Female,>50k,1
nan-nan,33,nan-nan,Divorced,Male,<=50k,21
nan-nan,33,nan-nan,Divorced,Male,>50k,2
nan-nan,33,nan-nan,Married-civ-spouse,Female,<=50k,17
nan-nan,33,nan-nan,Married-civ-spouse,Female,>50k,11
nan-nan,33,nan-nan,Married-civ-spouse,Male,<=50k,138
nan-nan,33,nan-nan,Married-civ-spouse,Male,>50k,77
nan-nan,33,nan-nan,Married-spouse-absent,Female,<=50k,1
nan-nan,33,nan-nan,Married-spouse-absent,Male,<=50k,4
nan-nan,33,nan-nan,Never-married,Female,<=50k,49
nan-nan,33,nan-nan,Never-married,Female,>50k,3
nan-nan,33,nan-nan,Never-married,Male,<=50k,69
nan-nan,33,nan-nan,Never-married,Male,>50k,4
nan-nan,33,nan-nan,Separated,Female,<=50k,12
nan-nan,33,nan-nan,Separated,Male,<=50k,9
nan-nan,34,nan-nan,Divorced,Female,<=50k,31
nan-nan,34,nan-nan,Divorced,Female,>50k,2
nan-nan,34,nan-nan,Divorced,Male,<=50k,22
nan-nan,34,nan-nan,Divorced,Male,>50k,3
nan-nan,34,nan-nan,Married-civ-spouse,Female,<=50k,17
nan-nan,34,nan-nan,Married-civ-spouse,Female,>50k,17
nan-nan,34,nan-nan,Married-civ-spouse,Male,<=50k,98
nan-nan,34,nan-nan,Married-civ-spouse,Male,>50k,71
nan-nan,34,nan-nan,Married-spouse-absent,Female,<=50k,3
nan-nan,34,nan-nan,Married-spouse-absent,Male,>50k,1
nan-nan,34,nan-nan,Never-married,Female,<=50k,43
nan-nan,34,nan-nan,Never-married,Female,>50k,6
nan-nan,34,nan-nan,Never-married,Male,<=50k,56
nan-nan,34,nan-nan,Never-married,Male,>50k,7
nan-nan,34,nan-nan,Separated,Female,<=50k,15
nan-nan,34,nan-nan,Separated,Male,<=50k,5
nan-nan,34,nan-nan,Widowed,Female,<=50k,1
nan-nan,35-36,nan-nan,Divorced,Female,<=50k,82
nan-nan,35-36,nan-nan,Divorced,Female,>50k,3
nan-nan,35-36,nan-nan,Divorced,Male,<=50k,55
nan-nan,35-36,nan-nan,Divorced,Male,>50k,4
nan-nan,35-36,nan-nan,Married-civ-spouse,Female,<=50k,26
nan-nan,35-36,nan-nan,Married-civ-spouse,Female,>50k,31
nan-nan,35-36,nan-nan,Married-civ-spouse,Male,<=50k,245
nan-nan,35-36,nan-nan,Married-civ-spouse,Male,>50k,194
nan-nan,35-36,nan-nan,Married-spouse-absent,Female,<=50k,5
nan-nan,35-36,nan-nan,Married-spouse-absent,Female,>50k,2
nan-nan,35-36,nan-nan,Married-spouse-absent,Male,<=50k,8
nan-nan,35-36,nan-nan,Married-spouse-absent,Male,>50k,3
nan-nan,35-36,nan-nan,Never-married,Female,<=50k,70
nan-nan,35-36,nan-nan,Never-married,Female,>50k,6
nan-nan,35-36,nan-nan,Never-married,Male,<=50k,102
nan-nan,35-36,nan-nan,Never-married,Male,>50k,6
nan-nan,35-36,nan-nan,Separated,Female,<=50k,15
nan-nan,35-36,nan-nan,Separated,Female,>50k,2
nan-nan,35-36,nan-nan,Separated,Male,<=50k,13
nan-nan,35-36,nan-nan,Separated,Male,>50k,1
nan-nan,35-36,nan-nan,Widowed,Female,<=50k,2
nan-nan,38,nan-nan,Divorced,Female,<=50k,35
nan-nan,38,nan-nan,Divorced,Female,>50k,2
nan-nan,38,nan-nan,Divorced,Male,<=50k,35
nan-nan,38,nan-nan,Divorced,Male,>50k,3
nan-nan,38,nan-nan,Married-civ-spouse,Female,<=50k,14
nan-nan,38,nan-nan,Married-civ-spouse,Female,>50k,14
nan-nan,38,nan-nan,Married-civ-spouse,Male,<=50k,115
nan-nan,38,nan-nan,Married-civ-spouse,Male,>50k,98
nan-nan,38,nan-nan,Married-spouse-absent,Female,<=50k,3
nan-nan,38,nan-nan,Married-spouse-absent,Male,<=50k,3
nan-nan,38,nan-nan,Married-spouse-absent,Male,>50k,1
nan-nan,38,nan-nan,Never-married,Female,<=50k,35
nan-nan,38,nan-nan,Never-married,Female,>50k,4
nan-nan,38,nan-nan,Never-married,Male,<=50k,38
nan-nan,38,nan-nan,Never-married,Male,>50k,5
nan-nan,38,nan-nan,Separated,Female,<=50k,9
nan-nan,38,nan-nan,Separated,Male,<=50k,3
nan-nan,38,nan-nan,Widowed,Female,<=50k,1
nan-nan,38,nan-nan,Widowed,Male,<=50k,2
nan-nan,39-40,nan-nan,Divorced,Female,<=50k,75
nan-nan,39-40,nan-nan,Divorced,Female,>50k,12
nan-nan,39-40,nan-nan,Divorced,Male,<=50k,47
nan-nan,39-40,nan-nan,Divorced,Male,>50k,8
nan-nan,39-40,nan-nan,Married-civ-spouse,Female,<=50k,22
nan-nan,39-40,nan-nan,Married-civ-spouse,Female,>50k,24
nan-nan,39-40,nan-nan,Married-civ-spouse,Male,<=50k,211
nan-nan,39-40,nan-nan,Married-civ-spouse,Male,>50k,197
nan-nan,39-40,nan-nan,Married-spouse-absent,Male,<=50k,4
nan-nan,39-40,nan-nan,Married-spouse-absent,Male,>50k,2
nan-nan,39-40,nan-nan,Never-married,Female,<=50k,58
nan-nan,39-40,nan-nan,Never-married,Female,>50k,7
nan-nan,39-40,nan-nan,Never-married,Male,<=50k,51
nan-nan,39-40,nan-nan,Never-married,Male,>50k,10
nan-nan,39-40,nan-nan,Separated,Female,<=50k,12
nan-nan,39-40,nan-nan,Separated,Female,>50k,2
nan-nan,39-40,nan-nan,Separated,Male,<=50k,13
nan-nan,39-40,nan-nan,Separated,Male,>50k,2
nan-nan,39-40,nan-nan,Widowed,Female,<=50k,4
nan-nan,39-40,nan-nan,Widowed,Female,>50k,1
nan-nan,47,nan-nan,Divorced,Female,<=50k,42
nan-nan,47,nan-nan,Divorced,Female,>50k,5
nan-nan,47,nan-nan,Divorced,Male,<=50k,20
nan-nan,47,nan-nan,Divorced,Male,>50k,6
nan-nan,47,nan-nan,Married-civ-spouse,Female,<=50k,9
nan-nan,47,nan-nan,Married-civ-spouse,Female,>50k,15
nan-nan,47,nan-nan,Married-civ-spouse,Male,<=50k,85
nan-nan,47,nan-nan,Married-civ-spouse,Male,>50k,103
nan-nan,47,nan-nan,Married-spouse-absent,Female,<=50k,2
nan-nan,47,nan-nan,Married-spouse-absent,Female,>50k,1
nan-nan,47,nan-nan,Married-spouse-absent,Male,<=50k,2
nan-nan,47,nan-nan,Never-married,Female,<=50k,14
nan-nan,47,nan-nan,Never-married,Female,>50k,2
nan-nan,47,nan-nan,Never-married,Male,<=50k,17
nan-nan,47,nan-nan,Never-married,Male,>50k,3
nan-nan,47,nan-nan,Separated,Female,<=50k,10
nan-nan,47,nan-nan,Separated,Male,<=50k,5
nan-nan,47,nan-nan,Separated,Male,>50k,3
nan-nan,47,nan-nan,Widowed,Female,<=50k,8
nan-nan,47,nan-nan,Widowed,Female,>50k,1
nan-nan,47,nan-nan,Widowed,Male,<=50k,2
nan-nan,48-49,nan-nan,Divorced,Female,<=50k,68
nan-nan,48-49,nan-nan,Divorced,Female,>50k,6
nan-nan,48-49,nan-nan,Divorced,Male,<=50k,40
nan-nan,48-49,nan-nan,Divorced,Male,>50k,10
nan-nan,48-49,nan-nan,Married-civ-spouse,Female,<=50k,8
nan-nan,48-49,nan-nan,Married-civ-spouse,Female,>50k,19
nan-nan,48-49,nan-nan,Married-civ-spouse,Male,<=50k,129
nan-nan,48-49,nan-nan,Married-civ-spouse,Male,>50k,166
nan-nan,48-49,nan-nan,Married-spouse-absent,Female,<=50k,3
nan-nan,48-49,nan-nan,Married-spouse-absent,Male,<=50k,2
nan-nan,48-49,nan-nan,Never-married,Female,<=50k,16
nan-nan,48-49,nan-nan,Never-married,Female,>50k,5
nan-nan,48-49,nan-nan,Never-married,Male,<=50k,24
nan-nan,48-49,nan-nan,Never-married,Male,>50k,4
nan-nan,48-49,nan-nan,Separated,Female,<=50k,17
nan-nan,48-49,nan-nan,Separated,Male,<=50k,10
nan-nan,48-49,nan-nan,Separated,Male,>50k,1
nan-nan,48-49,nan-nan,Widowed,Female,<=50k,13
nan-nan,48-49,nan-nan,Widowed,Female,>50k,2
nan-nan,48-49,nan-nan,Widowed,Male,<=50k,2
nan-nan,48-49,nan-nan,Widowed,Male,>50k,2
nan-nan,50,nan-nan,Divorced,Female,<=50k,29
nan-nan,50,nan-nan,Divorced,Female,>50k,2
nan-nan,50,nan-nan,Divorced,Male,<=50k,11
nan-nan,50,nan-nan,Divorced,Male,>50k,5
nan-nan,50,nan-nan,Married-civ-spouse,Female,<=50k,7
nan-nan,50,nan-nan,Married-civ-spouse,Female,>50k,7
nan-nan,50,nan-nan,Married-civ-spouse,Male,<=50k,64
nan-nan,50,nan-nan,Married-civ-spouse,Male,>50k,93
nan-nan,50,nan-nan,Married-spouse-absent,Female,<=50k,2
nan-nan,50,nan-nan,Married-spouse-absent,Male,<=50k,3
nan-nan,50,nan-nan,Never-married,Female,<=50k,5
nan-nan,50,nan-nan,Never-married,Female,>50k,1
nan-nan,50,nan-nan,Never-married,Male,<=50k,9
nan-nan,50,nan-nan,Never-married,Male,>50k,2
nan-nan,50,nan-nan,Separated,Female,<=50k,5
nan-nan,50,nan-nan,Separated,Male,<=50k,1
nan-nan,50,nan-nan,Widowed,Female,<=50k,8
nan-nan,54-55,nan-nan,Divorced,Female,<=50k,39
nan-nan,54-55,nan-nan,Divorced,Female,>50k,3
nan-nan,54-55,nan-nan,Divorced,Male,<=50k,26
nan-nan,54-55,nan-nan,Divorced,Male,>50k,9
nan-nan,54-55,nan-nan,Married-civ-spouse,Female,<=50k,13
nan-nan,54-55,nan-nan,Married-civ-spouse,Female,>50k,10
nan-nan,54-55,nan-nan,Married-civ-spouse,Male,<=50k,116
nan-nan,54-55,nan-nan,Married-civ-spouse,Male,>50k,98
nan-nan,54-55,nan-nan,Married-spouse-absent,Female,<=50k,4
nan-nan,54-55,nan-nan,Married-spouse-absent,Male,<=50k,2
nan-nan,54-55,nan-nan,Married-spouse-absent,Male,>50k,1
nan-nan,54-55,nan-nan,Never-married,Female,<=50k,14
nan-nan,54-55,nan-nan,Never-married,Female,>50k,1
nan-nan,54-55,nan-nan,Never-married,Male,<=50k,8
nan-nan,54-55,nan-nan,Never-married,Male,>50k,1
nan-nan,54-55,nan-nan,Separated,Female,<=50k,5
nan-nan,54-55,nan-nan,Separated,Female,>50k,1
nan-nan,54-55,nan-nan,Separated,Male,<=50k,4
nan-nan,54-55,nan-nan,Widowed,Female,<=50k,14
nan-nan,54-55,nan-nan,Widowed,Female,>50k,2
nan-nan,54-55,nan-nan,Widowed,Male,<=50k,5
nan-nan,54-55,nan-nan,Widowed,Male,>50k,2
nan-nan,18,nan-nan,Married-civ-spouse,Female,<=50k,2
nan-nan,18,nan-nan,Married-civ-spouse,Male,<=50k,2
nan-nan,18,nan-nan,Married-spouse-absent,Female,<=50k,1
nan-nan,18,nan-nan,Never-married,Female,<=50k,122
nan-nan,18,nan-nan,Never-married,Male,<=50k,121
nan-nan,19,nan-nan,Divorced,Female,<=50k,2
nan-nan,19,nan-nan,Married-AF-spouse,Female,<=50k,1
nan-nan,19,nan-nan,Married-civ-spouse,Female,<=50k,2
nan-nan,19,nan-nan,Married-civ-spouse,Male,<=50k,4
nan-nan,19,nan-nan,Married-spouse-absent,Female,<=50k,1
nan-nan,19,nan-nan,Married-spouse-absent,Male,<=50k,1
nan-nan,19,nan-nan,Never-married,Female,<=50k,120
nan-nan,19,nan-nan,Never-married,Female,>50k,1
nan-nan,19,nan-nan,Never-married,Male,<=50k,137
nan-nan,19,nan-nan,Separated,Male,<=50k,1
nan-nan,21,nan-nan,Divorced,Female,<=50k,4
nan-nan,21,nan-nan,Divorced,Male,<=50k,2
nan-nan,21,nan-nan,Married-civ-spouse,Female,<=50k,8
nan-nan,21,nan-nan,Married-civ-spouse,Female,>50k,1
nan-nan,21,nan-nan,Married-civ-spouse,Male,<=50k,13
nan-nan,21,nan-nan,Married-civ-spouse,Male,>50k,1
nan-nan,21,nan-nan,Married-spouse-absent,Female,<=50k,2
nan-nan,21,nan-nan,Never-married,Female,<=50k,122
nan-nan,21,nan-nan,Never-married,Male,<=50k,157
nan-nan,21,nan-nan,Never-married,Male,>50k,1
nan-nan,21,nan-nan,Separated,Female,<=50k,2
nan-nan,21,nan-nan,Widowed,Male,<=50k,1
nan-nan,22,nan-nan,Divorced,Female,<=50k,4
nan-nan,22,nan-nan,Divorced,Male,<=50k,2
nan-nan,22,nan-nan,Married-civ-spouse,Female,<=50k,12
nan-nan,22,nan-nan,Married-civ-spouse,Male,<=50k,34
nan-nan,22,nan-nan,Married-civ-spouse,Male,>50k,1
nan-nan,22,nan-nan,Married-spouse-absent,Female,<=50k,3
nan-nan,22,nan-nan,Never-married,Female,<=50k,139
nan-nan,22,nan-nan,Never-married,Male,<=50k,161
nan-nan,22,nan-nan,Never-married,Male,>50k,2
nan-nan,22,nan-nan,Separated,Female,<=50k,2
nan-nan,26,nan-nan,Divorced,Female,<=50k,17
nan-nan,26,nan-nan,Divorced,Male,<=50k,10
nan-nan,26,nan-nan,Married-civ-spouse,Female,<=50k,9
nan-nan,26,nan-nan,Married-civ-spouse,Female,>50k,4
nan-nan,26,nan-nan,Married-civ-spouse,Male,<=50k,59
nan-nan,26,nan-nan,Married-civ-spouse,Male,>50k,11
nan-nan,26,nan-nan,Married-spouse-absent,Female,<=50k,2
nan-nan,26,nan-nan,Married-spouse-absent,Male,<=50k,1
nan-nan,26,nan-nan,Never-married,Female,<=50k,85
nan-nan,26,nan-nan,Never-married,Female,>50k,1
nan-nan,26,nan-nan,Never-married,Male,<=50k,133
nan-nan,26,nan-nan,Never-married,Male,>50k,6
nan-nan,26,nan-nan,Separated,Female,<=50k,3
nan-nan,26,nan-nan,Separated,Male,<=50k,5
nan-nan,26,nan-nan,Widowed,Female,<=50k,1
nan-nan,27,nan-nan,Divorced,Female,<=50k,15
nan-nan,27,nan-nan,Divorced,Male,<=50k,10
nan-nan,27,nan-nan,Married-AF-spouse,Female,<=50k,1
nan-nan,27,nan-nan,Married-civ-spouse,Female,<=50k,13
nan-nan,27,nan-nan,Married-civ-spouse,Female,>50k,6
nan-nan,27,nan-nan,Married-civ-spouse,Male,<=50k,84
nan-nan,27,nan-nan,Married-civ-spouse,Male,>50k,19
nan-nan,27,nan-nan,Married-spouse-absent,Female,<=50k,5
nan-nan,27,nan-nan,Married-spouse-absent,Male,<=50k,1
nan-nan,27,nan-nan,Never-married,Female,<=50k,79
nan-nan,27,nan-nan,Never-married,Female,>50k,2
nan-nan,27,nan-nan,Never-married,Male,<=50k,118
nan-nan,27,nan-nan,Never-married,Male,>50k,5
nan-nan,27,nan-nan,Separated,Female,<=50k,3
nan-nan,27,nan-nan,Separated,Male,<=50k,7
nan-nan,43,nan-nan,Divorced,Female,<=50k,30
nan-nan,43,nan-nan,Divorced,Female,>50k,6
nan-nan,43,nan-nan,Divorced,Male,<=50k,16
nan-nan,43,nan-nan,Married-civ-spouse,Female,<=50k,6
nan-nan,43,nan-nan,Married-civ-spouse,Female,>50k,12
nan-nan,43,nan-nan,Married-civ-spouse,Male,<=50k,76
nan-nan,43,nan-nan,Married-civ-spouse,Male,>50k,102
nan-nan,43,nan-nan,Married-spouse-absent,Female,<=50k,4
nan-nan,43,nan-nan,Married-spouse-absent,Female,>50k,1
nan-nan,43,nan-nan,Married-spouse-absent,Male,<=50k,1
nan-nan,43,nan-nan,Married-spouse-absent,Male,>50k,1
nan-nan,43,nan-nan,Never-married,Female,<=50k,18
nan-nan,43,nan-nan,Never-married,Female,>50k,1
nan-nan,43,nan-nan,Never-married,Male,<=50k,17
nan-nan,43,nan-nan,Never-married,Male,>50k,9
nan-nan,43,nan-nan,Separated,Female,<=50k,12
nan-nan,43,nan-nan,Separated,Female,>50k,1
nan-nan,43,nan-nan,Separated,Male,<=50k,3
nan-nan,43,nan-nan,Separated,Male,>50k,1
nan-nan,43,nan-nan,Widowed,Female,<=50k,4
nan-nan,43,nan-nan,Widowed,Male,<=50k,1
nan-nan,44,nan-nan,Divorced,Female,<=50k,30
nan-nan,44,nan-nan,Divorced,Female,>50k,5
nan-nan,44,nan-nan,Divorced,Male,<=50k,30
nan-nan,44,nan-nan,Divorced,Male,>50k,5
nan-nan,44,nan-nan,Married-civ-spouse,Female,<=50k,6
nan-nan,44,nan-nan,Married-civ-spouse,Female,>50k,8
nan-nan,44,nan-nan,Married-civ-spouse,Male,<=50k,88
nan-nan,44,nan-nan,Married-civ-spouse,Male,>50k,96
nan-nan,44,nan-nan,Married-spouse-absent,Female,<=50k,2
nan-nan,44,nan-nan,Married-spouse-absent,Male,<=50k,4
nan-nan,44,nan-nan,Never-married,Female,<=50k,15
nan-nan,44,nan-nan,Never-married,Female,>50k,2
nan-nan,44,nan-nan,Never-married,Male,<=50k,17
nan-nan,44,nan-nan,Never-married,Male,>50k,6
nan-nan,44,nan-nan,Separated,Female,<=50k,7
nan-nan,44,nan-nan,Separated,Male,<=50k,4
nan-nan,44,nan-nan,Separated,Male,>50k,1
nan-nan,44,nan-nan,Widowed,Female,<=50k,5
nan-nan,45,nan-nan,Divorced,Female,<=50k,51
nan-nan,45,nan-nan,Divorced,Female,>50k,2
nan-nan,45,nan-nan,Divorced,Male,<=50k,23
nan-nan,45,nan-nan,Divorced,Male,>50k,3
nan-nan,45,nan-nan,Married-civ-spouse,Female,<=50k,7
nan-nan,45,nan-nan,Married-civ-spouse,Female,>50k,6
nan-nan,45,nan-nan,Married-civ-spouse,Male,<=50k,84
nan-nan,45,nan-nan,Married-civ-spouse,Male,>50k,103
nan-nan,45,nan-nan,Married-spouse-absent,Female,<=50k,2
nan-nan,45,nan-nan,Married-spouse-absent,Male,<=50k,3
nan-nan,45,nan-nan,Never-married,Female,<=50k,22
nan-nan,45,nan-nan,Never-married,Female,>50k,5
nan-nan,45,nan-nan,Never-married,Male,<=50k,18
nan-nan,45,nan-nan,Never-married,Male,>50k,1
